﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3hP7U1NmWEyeZRpLA1BhYj","Prop Me Up Beside the Jukebox (If I Die)","Joe Diffie","The Essential Joe Diffie","1","7","226973","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7Fq9RwQxSn3kW85PrDUf0M","Boot Scootin' Boogie","Brooks & Dunn","#1s ... and then some","1","15","198226","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:3ODF56f90W3qxDqxHAUi3v","Strawberry Wine","Deana Carter","The Deana Carter Collection","1","1","290466","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:5WEK4szbQp9c7ZK6LkYd9k","The Keeper Of The Stars","Tracy Byrd","No Ordinary Man","1","6","247626","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:6cjwec9ii5uLK7CDfPBYt1","Wide Open Spaces","Dixie Chicks","Wide Open Spaces","1","2","223832","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:3QvOV1QYPPre7gjppKyeON","Pickup Man","Joe Diffie","Greatest Hits","1","5","216693","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:1TanmIWbaUj5NVwJ3k4XPd","Write This Down","George Strait","Always Never The Same","1","2","219600","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:2P9Cn8LEt0mK0WD6iCYokP","Be My Baby Tonight","John Michael Montgomery","Greatest Hits","1","11","170533","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:2op0kDNARK2VHWHntEeH4g","Just To See You Smile","Tim McGraw","Everywhere","1","9","215173","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:75QTZG8XFYKb0HQIwgCzNE","Brand New Man","Brooks & Dunn","#1s ... and then some","1","2","179573","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:4l8u5h7OjkZo2UmyUoeKYJ","She's Got It All","Kenny Chesney","I Will Stand","1","1","205093","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:1ecIqo8pOc8S6y3l80iGxd","Fancy","Reba McEntire","Best Of/20th Century","1","7","296320","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:2ZXsvL9DO2MPv43Ay1IxgR","John Deere Green","Joe Diffie","Greatest Hits","1","2","273000","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:0MjT9xQqJrQlNrkWKZgFbQ","I'm Alright","Jo Dee Messina","I'm Alright","1","1","199040","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:7puxIVNdj5nsBJk43zM3bH","Carrying Your Love With Me","George Strait","Carrying Your Love With Me","1","2","232426","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:0NLBwQBYJhEM9t3KAMPFVR","Sold (The Grundy County Auction Incident)","John Michael Montgomery","John Michael Montgomery","1","2","152186","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:5pd09tZmcXpyaXcuzs1p7J","Straight Tequila Night","John Anderson","Greatest Hits","1","3","172756","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:1nVoLxz8C0uGgMKfywy0vf","Independence Day","Martina McBride","The Way That I Am","1","4","204626","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:5s53KI8m2qnabzTumD7lfb","Honky Tonk Attitude","Joe Diffie","The Essential Joe Diffie","1","8","228626","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:69ku805AjIcFQh0IfkGohf","Should've Been A Cowboy","Toby Keith","Toby Keith","1","1","211306","spotify:user:","2020-03-29T22:18:52Z"
"spotify:track:3EUl8M6SzxZl03NPkB8mUd","Neon Moon","Brooks & Dunn","#1s ... and then some","2","13","263760","spotify:user:","2020-03-29T22:18:52Z"
