﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3WWVDPjihd1VITBLF10nha","Forever Country","Artists Of Then, Now & Forever","Forever Country","1","1","242480","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:0xwPzLmBAYro8BUz7MrtAo","Make You Miss Me","Sam Hunt","Montevallo","1","7","225693","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:2wqXQjOmQ9KoBm9Ssgt4Fo","Peter Pan","Kelsea Ballerini","The First Time","1","2","200040","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5OwOWdY2hsSAtSERkxUwoc","I Could Use a Love Song","Maren Morris","HERO","1","4","196421","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:6eJBihAzTWRxvvjJWuRQXM","Go Ahead and Break My Heart (feat. Gwen Stefani)","Blake Shelton, Gwen Stefani","If I'm Honest","1","9","263800","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5fSPbm5lcwtqwXkeQQswW8","Record Year","Eric Church","Mr. Misunderstood","1","9","179346","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:1jNNHFZmRGXZFHlil5uhei","Drunk on Your Love","Brett Eldredge","Illinois","1","9","173960","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:13keyz9ikBe6ZpRasw7l4X","Smokin' and Drinkin' (feat. Little Big Town)","Miranda Lambert, Little Big Town","Platinum","1","4","330693","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5aj0xPGiEUN3aI2oOYu14S","I Don't Dance","Lee Brice","I Don't Dance (Deluxe Edition)","1","1","221173","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:0Lf5evFei2z92kAxQzapy7","Renegade Runaway","Carrie Underwood","Storyteller","1","1","219346","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:1TKlBK9cSrM5u4CiL4SETS","Talladega","Eric Church","The Outsiders","1","5","262280","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5ZManJDV3CexO66nRCkdiV","Break Up with Him","Old Dominion","Meat and Candy","1","8","207733","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5Net7uzpcqkJtOwR22onye","We Were Us","Keith Urban, Miranda Lambert","Fuse (Deluxe Edition)","1","6","191746","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:1XazlqB4YAtvouCmJPWXlM","Wanna Be That Song","Brett Eldredge","Illinois","1","4","236226","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:67citk3uzWs5qbaIVKTeg8","Church Bells","Carrie Underwood","Storyteller","1","3","193333","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:2Wud6xFXTtFrTtAaViGL0C","My Church","Maren Morris","HERO","1","3","197930","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:0dbzWSYpMcRtwjI1S7Pkql","Huntin', Fishin' And Lovin' Every Day","Luke Bryan","Kill The Lights (Deluxe)","1","12","278613","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:5HJId22hZ2IvFnvNSy6ZbE","Different For Girls","Dierks Bentley, Elle King","Black","1","10","180360","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:4CLPNURPcKztF9RRdcWLGP","Follow Your Arrow","Kacey Musgraves","Same Trailer Different Park","1","11","199640","spotify:user:","2017-08-05T14:56:52Z"
"spotify:track:0lQJBl9YEsoMtE8D4yTE9g","From the Ground Up","Dan + Shay","Obsessed","1","3","253933","spotify:user:","2017-08-05T14:56:52Z"
