﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:62wtttQzoIA9HnNmGVd9Yq","Two Words","Kanye West, Mos Def, Freeway, The Boys Choir Of Harlem","The College Dropout","1","18","266213","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:7rzbAd8dsYRt2fPcxhPf92","Shyne","Shyne, Mashonda","godfather buried alive","1","5","270240","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:3YrVdQ19x8VDexsX7ytwJ2","Umma Do Me","Rocko","Self-Made","1","2","230546","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:1LM6EReMkAxuDXDF26ekl2","Get By","Talib Kweli","Quality","1","3","227426","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0DRAmZDhhG5K2U70daPhbx","I Like That","Houston, Chingy, Nate Dogg, I-20","I Like That","1","1","237893","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2kNtAwWATYkqV3CdT20RV0","Swagga Like Us (feat. Kanye West & Lil' Wayne)","T.I., JAY-Z, Kanye West, Lil Wayne","Paper Trail","1","13","327666","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:4anqYZt4APNlFwQixpbdZR","Da Rockwilder","Method Man, Redman","Blackout!","1","7","136093","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0uiMSv1iUmIELMFnTmyyKX","Always Strapped","Birdman, Lil Wayne","Always Strapped","1","1","208293","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:5F7caGhe84C6ONva5S8yXF","Dreams","The Game","The Documentary","1","3","286453","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0xBp653LGFv2kW4p4bcrZJ","Dipset (Santana's Town)","Juelz Santana, Cam’ron","From Me To U","1","13","218800","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:299Nx9X3N3cWuUHKdDlZQs","More Or Less","Shyne","godfather buried alive","1","3","277640","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2aIdVb8v9KTpEZnftkz2mD","Buy U a Drank (Shawty Snappin') (feat. Yung Joc)","T-Pain, Yung Joc","Epiphany","1","12","227960","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:50M2QjfSM82wkJ1d0iV4mh","Daydreamin' (feat. Jill Scott)","Lupe Fiasco, Jill Scott","Lupe Fiasco's Food & Liquor","1","9","234306","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0KAGYcaO4BsbRMPMdeUDCS","Round Here","Memphis Bleek, T.I., Trick Daddy","M.A.D.E.","1","3","309306","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0YImOCkIJ2PWhCXaURCZnY","I Know What You Want (feat. Flipmode Squad)","Busta Rhymes, Mariah Carey, Flipmode Squad","It Ain't Safe No More. . .","1","12","324306","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2037Ob3nwf6lnMCByEoTSB","The Truth","Beanie Sigel","The Truth","1","1","249626","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:7tDbbfzB1d52lWP8rq8zRZ","Pump It Up","Joe Budden","Joe Budden","1","3","251373","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:03b1NUHnoavfpLLKcEMfIb","Go Getta","Jeezy, R. Kelly","The Inspiration","1","6","229346","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:7dltD9eEX7X1zk8JJ9BS0e","Superstar","Lupe Fiasco, Matthew Santos","Lupe Fiasco's The Cool","1","5","289000","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2ye824NM1m7Nc2UPXtwZjL","When I'm Gone","Eminem","Curtain Call (Deluxe)","1","16","281133","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:3MbBa8FMMgp9D39s7Cozl9","Money, Power & Respect (feat. DMX & Lil' Kim)","The LOX, DMX, Lil' Kim","Money, Power & Respect","1","5","270493","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:7fuoqve1SOEBmhc2PoQTF0","Breathe","Fabolous","Real Talk (Explicit U.S. Version)","1","13","268960","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:1unbLw4cvR8za4YpHFWcN7","This Way","Dilated Peoples","Neighborhood Watch","1","13","245826","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:78kVkpg0yX3jlTqzreFk0U","Doin' My Job","T.I.","Trap Muzik","1","5","253253","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:05iPQqLo3ZCfmQZ1pLmhdj","Dunn, Dunn","Shawty Lo","Dunn, Dunn","1","1","197386","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2cYZpcIV39X48RnOFM7w2V","All Falls Down","Kanye West, Syleena Johnson","The College Dropout","1","4","223506","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:31rk2z6XreitvUgfJURMil","The Corner","Common, The Last Poets","Be","1","2","225333","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:7iXF2W9vKmDoGAhlHdpyIa","Forgot About Dre","Dr. Dre, Eminem","2001","1","10","222293","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:4hHXhCRSnOKd6nMGaivmD0","Hotel (feat. R. Kelly)","Cassidy, R. Kelly","Split Personality","1","2","247040","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2T8hXV9LUZMDBKR5RALGEa","Splash Waterfalls","Ludacris","Chicken - N - Beer","1","5","290760","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:4kmIO0yPq92dXtKCL28RfC","Never Scared (feat. Killer Mike & T.I.) - Club Mix","Bone Crusher, Killer Mike, T.I.","AttenCHUN!","1","3","316133","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:1Ji8DhJGIQuV9kBiTgcChh","Make It Rain","Fat Joe, Lil Wayne","Me, Myself & I","1","7","247413","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:3frQJotNjIFiYRpvqCuxAB","Bottom Of The Map","Jeezy","Let's Get It: Thug Motivation 101","1","9","261959","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:67t2pIIrrdBWFr0u8y4L1b","Beanie (Mack B****)","Beanie Sigel","The Reason","1","2","253666","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:1kEp3Po9RUPm11N5ITOUWx","Pop Bottles - Main","Birdman, Lil Wayne","5 * Stunna","1","13","205133","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:23wfXwnsPZYe5A1xXRHb3J","The Way I Am","Eminem","The Marshall Mathers LP","1","7","290426","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:58LflM1owDAzQkYIL7ayCX","Why","Jadakiss, Anthony Hamilton","Kiss Of Death","1","6","240000","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0QJU13S307gWlr4nhUh2SV","Whuteva","Remy Ma","There's Something About Remy-Based On A True Story","1","5","226066","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:7BKi4ZcyMBXeAvJ1OPxhdV","Outta Control - Remix","50 Cent, Mobb Deep","Outta Control (Remix)","1","2","247973","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:5a4AQWs84xeEyYUd1iC2Pn","I Think They Like Me - Remix","Dem Franchize Boyz, Jermaine Dupri, Da Brat, Bow Wow, The Kid Slim","On Top Of Our Game","1","2","282093","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:5RpSXFipAX2W6zo4HnHScn","Hey Papi - Album Version - Explicit","JAY-Z, Memphis Bleek, Amil","The Nutty Professor II - The Klumps","1","2","268693","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:6vB49BJ70zBpDrrAPwdaB8","Drive Slow","Kanye West, Paul Wall, GLC","Late Registration","1","6","272226","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:4rICUbwZZuqUOcgQgtux2k","Feel It In The Air","Beanie Sigel, Melissa","The B.Coming","1","1","246160","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:37qcaCXw7TlBsDD5BgDoCf","Start It Up","Lloyd Banks, Kanye West, Swizz Beatz, Fabolous, Ryan Leslie","H.F.M. 2 (Hunger For More 2)","1","8","289520","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:71u5SjnkSQgzIt1UzHchbi","Whoa!","Black Rob","Life Story","1","3","238840","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:2TosX3xYACy6rOe1HGC85K","Wipe Me Down (feat. Foxx)","Boosie Badazz, Webbie","Survival Of The Fittest","1","3","290880","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:5lrOsw7J8R7shum7A4j36t","Pop Champagne (feat. Juelz Santana) - Explicit Album Version","Jim Jones, Ron Browz, Juelz Santana","Pray IV Reign","1","14","215973","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:6nz35DNIzbtj5ztpDEcW1j","Kick, Push","Lupe Fiasco","Lupe Fiasco's Food & Liquor","1","4","254466","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:3dSsqTvkWZLQ7V4y4ftFgV","Flipside","Freeway, Peedi Crakk","Philadelphia Freeway","1","4","236706","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:0wCC06ziWEkYOif44iFggw","O Let's Do It (feat. Cap)","Waka Flocka Flame, Cap","Flockaveli","1","10","248533","spotify:user:","2020-02-14T05:01:00Z"
"spotify:track:6QdVBqkKNUqCqercvUHMkP","Stunt 101","G-Unit","Beg For Mercy","1","5","232226","spotify:user:","2020-02-14T05:01:00Z"
