﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5ghIJDpPoe3CfHMGu71E6T","Smells Like Teen Spirit","Nirvana","Nevermind (Remastered)","1","1","301920","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:62nQ8UZVqR2RMvkJHkcO2o","Jeremy","Pearl Jam","Ten","1","6","318226","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:59WN2psjkt1tyaxjspN8fp","Killing In The Name","Rage Against The Machine","Rage Against The Machine - XX (20th Anniversary Special Edition)","1","2","313573","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0","Under the Bridge","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","1","11","264306","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2IZZqH4K02UIYg5EohpNHF","Zombie","The Cranberries","No Need To Argue","1","4","306426","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:2EoOZnxNgtmZaD8uUmz2nD","Black Hole Sun","Soundgarden","Superunknown (Deluxe Edition)","1","7","318586","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5jafMI8FLibnjkYTZ33m0c","High And Dry","Radiohead","The Bends","1","3","257480","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5QLHGv0DfpeXLNFo7SFEy1","1979 - Remastered 2012","The Smashing Pumpkins","Mellon Collie And The Infinite Sadness (Deluxe Edition)","2","5","266200","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:39tLc4Xp58Lu4KcWHggeE2","Closer","Nine Inch Nails","The Downward Spiral","1","5","373306","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:4PtZE0h5oyPhCtPjg3NeYQ","No Excuses","Alice In Chains","Jar Of Flies","1","4","255573","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:1hKdDCpiI9mqz1jVHRKG0E","Enter Sandman","Metallica","Metallica","1","1","331573","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:5wj4E6IsrVtn8IBJQOd0Cl","Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? (Deluxe Edition) [Remastered]","1","3","258732","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3YRCqOhFifThpSRFJ1VWFM","November Rain","Guns N' Roses","Use Your Illusion I","1","10","536066","spotify:user:","2020-04-07T16:44:20Z"
"spotify:track:3LRJbFT9rKoKv4aW7PuBJC","Longview","Green Day","Dookie","1","4","233240","spotify:user:","2020-04-07T16:44:20Z"
