﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5RrrQhJKKKMJt3wB5n2N3t","Living In A Ghost Town","The Rolling Stones","Living In A Ghost Town","1","1","247010","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:29ps0vZuCiqdaCqeKQ1fRT","Last Of The Street Survivors","Lynyrd Skynyrd","Last Of The Street Survivors","1","1","255133","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2yoZimUShwEoCsXEfmRGNV","Isolation","Jeff Beck, Johnny Depp","Isolation","1","1","314522","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:5Q4oMTh4EpurBcK5mUroke","You Are The Champions - In Support Of The Covid-19 Solidarity Response Fund","Queen, Adam Lambert","You Are The Champions (In Support Of The Covid-19 Solidarity Response Fund)","1","1","127450","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:6GWHnpREZMNGd1uGYa6Zua","Throwing Mountains","Kansas","Throwing Mountains","1","1","381191","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:6eEYGGFfFbtKHCgJM4uh9v","Ordinary Man (feat. Elton John)","Ozzy Osbourne, Elton John","Ordinary Man (feat. Elton John)","1","1","301730","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:71JuDGXgyY7MbmXtldZ4C3","Limitless","Bon Jovi","Limitless","1","1","221946","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:6jFp2s1RhPF5piYacNLsYd","So Lonely - My Songs Version","Sting","My Songs (Deluxe)","1","8","248955","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:6QI50VVTjKR6pJjKmaY8WX","Throw My Bones","Deep Purple","Throw My Bones","1","1","218693","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:3gOaK1kvxuWwGwY38jG4eF","Shut It Down 2020","Neil Young, Crazy Horse","Shut It Down 2020","1","1","221971","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:22UgD3bRXzveuNnhZP72a4","Ball and Chain","The Who","Ball and Chain","1","1","269933","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2E5ufno5JwzZiA96JiHUGN","Low","Lenny Kravitz","Raise Vibration","1","2","318986","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:1PCRrXONHBtqfxXnRL1IKc","Devil's Tower","TOTO","Devil's Tower","1","1","223613","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2PETsovNFRjQOSMWj8gNii","Superblood Wolfmoon","Pearl Jam","Superblood Wolfmoon","1","1","229466","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:03HA3VjUvxG7BiYX146J0a","Go Downtown","J.J. Cale","Stay Around","1","9","212573","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:7mHKh4SM1RrPfGqcSLnzkq","Days Gone By","Van Morrison","Days Gone By","1","1","463400","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2dhJM2skHC9D41gHj34Kgw","You’re The Best Thing About Me","U2","Songs Of Experience (Deluxe Edition)","1","3","225400","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:5bpaHLJ08GNBKW35ZfCYJy","Hello Sunshine","Bruce Springsteen","Western Stars","1","12","234240","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2Hmz8V8A5S23VT0h4Y2ZDB","Liberty Lane","Status Quo","Backbone","1","3","222040","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:04o1B77uENKLVv5HmFIxtK","Drive","Wishbone Ash","Coat of Arms","1","5","295213","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:4ZxEF6c6dHYiRkGQjsZEY5","Loves Missing","Iggy Pop","Free","1","2","259113","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:4ZAbz1beljrsHwgPVVGLpd","The Buzz","Pretenders","The Buzz","1","1","230893","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:4IRSKJjzbeO0qJoT6yejDZ","Come On To Me","Paul McCartney","Egypt Station (Explorer's Edition)","1","3","250560","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:0xhy8leEFBHNHyf8qSyFvx","You Are The Fire","Decarlo","Lightning Strikes Twice (Japan Edition)","1","2","276782","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:124qbCWKsFvtyzbu8b4HJN","Déjà Vu","Roger Waters","Is This The Life We Really Want?","1","2","267453","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:6Pt9gKCvcb970sLaTXhld1","Long Time","Blondie","Pollinator","1","2","275053","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:5Op9PcisNc0oGnS4dysmbu","Shine A Light","Bryan Adams","Shine A Light","1","1","206026","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:0mSePRtdA8jUCsrK7KmhBu","Remind Me Why I Love You Again","Huey Lewis & The News","Weather","1","5","200733","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:5YIvqEmx62bGzXluzNkHAP","The Soul Searchers","Paul Weller","True Meanings","1","1","301933","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:4iGBPovu7Hy7TUg6Wk6pjt","The Dirt (Est. 1981) [feat. Machine Gun Kelly]","Mötley Crüe, Machine Gun Kelly","The Dirt Soundtrack","1","1","232000","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:3FF0SMFxv6zHwNzl4WrhtR","We Stand as One","Wishbone Ash","We Stand as One","1","1","255520","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:0toYxUoM8HP6isTJsKNKqa","Trouble Is Your Middle Name","Whitesnake","Flesh & Blood (Deluxe Edition)","1","7","257065","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:0NrWlujfMeGgRlWRJi00zL","The May Queen","Robert Plant","Carry Fire","1","1","254426","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:5qm4gm7bgRqOsle2HhlaF7","Killing Floor","Steve Miller Band","Killing Floor / Rock'n Me","1","1","184400","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:1t8VoYuUY5oA2QKbquMZQp","Down Came the Rain","Electric Light Orchestra","Jeff Lynne's ELO - From Out Of Nowhere","1","4","208093","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:4Yq4i6ISO9v5NFYaiWgR4C","Stop Loving Her Today","Rod Stewart","Stop Loving Her Today","1","1","250710","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:12XBk6u0E6HIkrjImA3tzC","Grazed by Heaven","Uriah Heep","Living the Dream","1","1","271490","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:7uWPQnmMjqyhcGuHNY79ob","Milky Way","Neil Young, Crazy Horse","Milky Way","1","1","359626","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2w9kljwEMm6gVFhPSQrzmE","I Hear You Paint Houses","Robbie Robertson, Van Morrison","I Hear You Paint Houses","1","1","303066","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:2CuXNmzClkDWeTl6AsXBMt","Who's Laughing Now","Hollywood Vampires, Alice Cooper, Joe Perry","Rise","1","3","249960","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:176kpV6izJDVUwkG7GSurq","Where Are You Eden?","Magnum","Where Are You Eden?","1","1","336453","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:3d9snMJKWWca3FB7PwJ5gx","What’s My Name","Ringo Starr","What's My Name","1","1","225226","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:0luikRcaiVx5eejcYyNh3Y","Estonia","Marillion","Estonia","1","1","477018","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:6QsaoM6upioGbe4WZhLCmc","Chelsea","TOTO","Chelsea","1","1","289693","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:4Sqq4flOBLG8S5DohMkiII","Crossed The Line","Taylor Hawkins & The Coattail Riders","Get The Money","1","1","264626","spotify:user:","2020-05-01T09:01:57Z"
"spotify:track:54SNISWBF7bKTzUftuGSyH","The Dying","Dirty Shirley","Dirty Shirley","1","4","240037","spotify:user:","2020-05-01T09:01:57Z"
