﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5RqR4ZCCKJDcBLIn4sih9l","Party Girl","StaySolidRocky","Party Girl","1","1","147800","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0GfoZlCUFLhnJBEMgtQZNm","Costa Rica (feat. The Kid LAROI) - Remix","Bankrol Hayden, The Kid LAROI","Costa Rica (feat. The Kid LAROI) [Remix]","1","1","114865","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:32ypPhtgTaETvFn3ZIHXTW","Fade Away","The Kid LAROI, Lil Tjay","Fade Away","1","1","179252","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:3Hh1dMv74AXl5MxLvTkz8k","Can't Deny (feat. Lil Tecca)","Nebu Kiniza, Lil Tecca","Can't Deny (feat. Lil Tecca)","1","1","177031","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:17edQZ7SsdC9MU6iPs4sJI","Violin","Lil West, Brevin Kim","Metallic Body Language","1","1","196348","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:2GfzaCJKs8DM5jnMCUrpOt","Timeout (feat. Pressa)","Yung Tory, Pressa","Timeout (feat. Pressa)","1","1","153128","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:1osEqrcVTAU1ERWcumNTFQ","Every Time We Step","Lil Loaded","Every Time We Step","1","1","191688","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:1awKFdswWnFNPAdIbR7PES","Trade Places With Them Jeans","Guapdad 4000","Platinum Falcon Tape, Vol. 1","1","6","139813","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:6wVQPCYbVTMx59KRuZU42U","Prescription","YSN Flow","Flow $ZN","1","8","162310","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:65DZmGUS0tJR2NKXnUK2Af","Necklace","Freddie Dredd","Necklace","1","1","111370","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:6Sb0LOY226ou0GndI5eiif","Love Is Gone","Slatt Zy","Zy Story","1","3","153652","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:5uROp9TdsF7ScCwyEnfMRQ","Yeah Yeah (feat. Future & Lil Keed)","Lil Gotit, Future, Lil Keed","Hood Baby 2","1","5","261492","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:5yrqY5yKBuBjIS4luMlgCx","Fidget","Lil Skies","Fidget","1","1","211862","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0oH0OIeKJSAT5bdFkbz20A","Havin My Way (feat. Lil Durk)","Lil Skies, Lil Durk","Havin My Way (feat. Lil Durk)","1","1","211653","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:3PyDMDQRi8OaNuhyw9syPF","Sailor Moon","KILLY","Sailor Moon","1","1","126884","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:1TRzbzsln0Y7eqi9WM1yzM","OD","DDG","OD","1","1","154920","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:7BLWbB4BY1uVptsG0axj3T","Opportunity","TyFontaine","1800","1","11","110769","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:71i0Y1Y128ESeNtTeqECQK","Illusion","Yung Pinch","Illusion","1","1","165072","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:0easEmosKkPhksg0qidzXo","Roses","SAINt JHN","Collection One","1","4","173610","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:616gGcmSpT30DezgtMyi8S","Juice","Sueco the Child","Juice","1","1","134783","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:3NHIF5vQRcSN4sGbtL2E8M","Get Me Lit","P-Lo","Get Me Lit","1","1","131794","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:65PPvyGhxYXrDnKizkVX1t","RICCHEZZA","Justin Rarri","RICCHEZZA","1","1","166400","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:52pbLOAaN6hrooorlexamG","virtual world","TyFontaine","Virtual World","1","1","122880","spotify:user:","2020-05-01T04:42:47Z"
"spotify:track:2CBvVcc95xy5CI5DtUJS44","Smile","Duwap Kaine","Smile","1","1","123816","spotify:user:","2020-05-01T17:25:25Z"
"spotify:track:4oxTzn8u6xDrM3xUKItiM9","OLD SOUL (feat. G Herbo)","2KBABY, G Herbo","Pregame Rituals","1","2","256991","spotify:user:","2020-05-01T04:42:47Z"
